league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,241527,Koen Kostons,PEC Zwolle,Forward,False,34,34,2884.5,1.9033,0.3432,0.1872,0.459,0.9427,espn_true_per90
eredivisie,271345,Kaj de Rooij,PEC Zwolle,Attacking Midfielder Left,False,32,23,2027.1,1.2432,0.2664,0.222,0.3214,0.6624,espn_true_per90
eredivisie,286854,Dylan Mbayo,PEC Zwolle,Attacking Midfielder Right,False,14,5,520.8,0.3456,0.0,0.1728,0.5,0.1702,espn_true_per90
eredivisie,386853,Gabriel Reiziger,PEC Zwolle,Substitute,False,12,1,197.8,1.8204,0.4551,0.0,0.25,0.0646,espn_true_per90
eredivisie,333760,Damian Van Der Haar,PEC Zwolle,Substitute,False,3,0,18.2,0.0,0.0,0.0,,0.0059,espn_true_per90
eredivisie,365026,Nick Fichtinger,PEC Zwolle,Substitute,False,20,5,759.6,0.8294,0.0,0.1185,0.2857,0.2482,espn_true_per90
eredivisie,270806,Thomas Buitink,PEC Zwolle,Substitute,False,8,0,122.3,1.4713,0.0,0.0,0.5,0.04,espn_true_per90
eredivisie,148868,Lars Unnerstall,FC Twente,Goalkeeper,True,31,31,2790.0,0.0,0.0,0.0,,0.9118,espn_true_per90
eredivisie,169050,Robin Pröpper,FC Twente,Center Left Defender,False,28,20,1717.9,1.2049,0.0,0.0,0.2174,0.5614,espn_true_per90
eredivisie,340691,Stav Lemkin,FC Twente,Center Right Defender,False,25,23,2039.9,0.3088,0.0,0.0441,0.0,0.6666,espn_true_per90
eredivisie,359744,Mats Rots,FC Twente,Left Back,False,34,34,2950.4,1.1286,0.122,0.122,0.3243,0.9642,espn_true_per90
eredivisie,277855,Bart van Rooij,FC Twente,Right Back,False,33,33,2925.2,1.1076,0.0923,0.1231,0.25,0.956,espn_true_per90
eredivisie,214666,Arno Verschueren,FC Twente,Attacking Midfielder,False,30,3,568.7,2.3739,0.0,0.3165,0.4667,0.1858,espn_true_per90
eredivisie,277315,Thomas van den Belt,FC Twente,Left Midfielder,False,32,27,2186.2,2.3053,0.2058,0.0412,0.3214,0.7145,espn_true_per90
eredivisie,290517,Ramiz Zerrouki,FC Twente,Right Midfielder,False,32,32,2660.1,1.1165,0.1015,0.0338,0.2424,0.8693,espn_true_per90
eredivisie,124932,Ricky van Wolfswinkel,FC Twente,Forward,False,31,18,1731.1,2.2356,0.4159,0.0,0.4651,0.5657,espn_true_per90
